AddressID,AddressLine1,AddressLine2,City,StateProvinceID,PostalCode,rowguid,ModifiedDate
1,"1970 Napa Ct.",NULL,Bothell,79,98011,...,"1998-01-04 00:00:00"
2,"9833 Mt. Dias Blv.",NULL,Bothell,79,98011,...,"1999-01-01 00:00:00"
3,"7484 Roundtree Drive",NULL,Bothell,79,98011,...,"2003-04-08 00:00:00"
4,"9539 Glenside Dr",NULL,Bothell,79,98011,...,"1999-03-07 00:00:00"
5,"1226 Shoe St.",NULL,Bothell,79,98011,...,"1999-01-20 00:00:00"
6,"1399 Firestone Drive",NULL,Bothell,79,98011,...,"1999-03-17 00:00:00"
7,"5672 Hale Dr.",NULL,Bothell,79,98011,...,"2000-01-12 00:00:00"
8,"6387 Scenic Avenue",NULL,Bothell,79,98011,...,"1999-01-18 00:00:00"
9,"8713 Yosemite Ct.",NULL,Bothell,79,98011,...,"2002-07-01 00:00:00"
10,"250 Race Court",NULL,Bothell,79,98011,...,"1999-01-03 00:00:00"
11,"1318 Lasalle Street",NULL,Bothell,79,98011,...,"2003-04-01 00:00:00"
12,"5415 San Gabriel Dr.",NULL,Bothell,79,98011,...,"2003-02-06 00:00:00"
13,"9265 La Paz",NULL,Bothell,79,98011,...,"2004-01-15 00:00:00"
14,"8157 W. Book",NULL,Bothell,79,98011,...,"2000-01-05 00:00:00"
15,"4912 La Vuelta",NULL,Bothell,79,98011,...,"2003-12-20 00:00:00"
16,"40 Ellis St.",NULL,Bothell,79,98011,...,"2002-12-11 00:00:00"
17,"6696 Anchor Drive",NULL,Bothell,79,98011,...,"2003-12-10 00:00:00"
18,"1873 Lion Circle",NULL,Bothell,79,98011,...,"2004-01-01 00:00:00"
19,"3148 Rose Street",NULL,Bothell,79,98011,...,"2004-05-04 00:00:00"
20,"6872 Thornwood Dr.",NULL,Bothell,79,98011,...,"1999-03-09 00:00:00"
21,"5747 Shirley Drive",NULL,Bothell,79,98011,...,"1999-03-15 00:00:00"
22,"636 Vine Hill Way",NULL,Portland,58,97205,...,"2001-06-24 00:00:00"
23,"6657 Sand Pointe Lane",NULL,Seattle,79,98104,...,"1999-02-16 00:00:00"
24,"80 Sunview Terrace",NULL,Duluth,36,55802,...,"2001-06-24 00:00:00"
25,"9178 Jumping St.",NULL,Dallas,73,75201,...,"2002-09-01 00:00:00"
26,"5725 Glaze Drive",NULL,"San Francisco",9,94109,...,"2001-06-24 00:00:00"
27,"2487 Riverside Drive",NULL,Nevada,74,84407,...,"2001-06-24 00:00:00"
28,"9228 Via Del Sol",NULL,Phoenix,6,85004,...,"2001-09-01 00:00:00"
29,"8291 Crossbow Way",NULL,Memphis,72,38103,...,"2001-06-24 00:00:00"
